word,cosine_similarity_original_vs_finetuned,shift
review,0.6090445518493652,0.39095544815063477
score,0.6224092245101929,0.37759077548980713
screen,0.6761733889579773,0.3238266110420227
plot,0.7015153765678406,0.2984846234321594
cast,0.7810510396957397,0.21894896030426025
